amplitude,duration,energy,rms,rise_time,counts,label
0.00012787,0.0005065,141.7064607,6.02E-06,0.0004848,6,0
0.000223773,0.0002832,107.5196876,7.36E-06,0.0001271,7,0
0.000456679,0.0025031,2164.180693,7.57E-06,0.0002113,176,0
0.000176583,0.0006245,224.8245434,7.03E-06,0.0003121,18,0
0.000153749,0.0003267,113.0180573,7.06E-06,6.56E-05,6,0
0.000179627,0.0007475,218.7828159,9.70E-06,0.0002227,17,0
0.000223773,0.0012912,429.1236568,7.89E-06,1.43E-05,21,0
0.000109603,0.0003572,80.43215984,1.08E-05,3.69E-05,2,0
0.000633262,0.0026383,2312.422649,9.58E-06,2.56E-05,180,0
0.000350121,0.0020476,1133.496706,1.11E-05,0.0002616,106,0
0.000191805,0.0009675,363.3144222,9.76E-06,7.35E-05,35,0
0.000505392,0.0026367,1066.745818,1.08E-05,7.60E-06,96,0
0.000245085,0.0022009,943.3826424,9.76E-06,0.0009806,99,0
0.000379044,0.0034207,2374.699965,1.28E-05,0.0009218,203,0
0.000184194,0.001634,379.8804402,8.82E-06,0.0011121,27,0
0.000153749,0.0002537,99.13471792,1.28E-05,2.40E-06,8,0
0.00014766,0.0002151,86.38490344,1.28E-05,0.0001967,4,0
0.000864646,0.0047743,7657.525452,1.57E-05,0.0002431,351,0
0.000117214,0.0004578,81.53685765,1.57E-05,0.0002485,2,0
0.000172016,0.000201,111.1560696,1.32E-05,1.26E-05,11,0
0.002596983,0.0057662,77056.93299,1.41E-05,0.0002323,749,0
0.001021439,0.0058508,15604.60603,1.24E-05,0.0003977,521,0
0.000129392,0.0003174,65.28293206,1.55E-05,7.71E-05,3,0
0.000252696,0.0003368,133.3586603,1.28E-05,3.10E-06,10,0
0.000185716,0.001023,310.2627881,1.48E-05,0.0001315,30,0
0.000191805,0.0009603,233.1388822,1.03E-05,0.0001337,23,0
0.000152226,0.0004594,142.0926137,7.98E-06,0.0002249,9,0
0.000216162,0.0010422,262.9457945,8.66E-06,2.87E-05,20,0
0.000167449,0.0002816,125.630781,8.14E-06,0.0002246,9,0
0.000141571,0.0005157,144.7872496,1.07E-05,3.93E-05,6,0
0.000372955,0.0010052,607.3073914,7.10E-06,4.33E-05,58,0
0.000263352,0.0017866,799.3692746,8.53E-06,2.01E-05,79,0
0.000449068,0.0028272,2749.384673,9.57E-06,0.000231,205,0
0.000120259,0.0004943,139.0286947,9.57E-06,0.0004615,5,0
0.000438412,0.0018009,974.2469799,8.50E-06,1.45E-05,94,0
0.000149182,0.0004141,119.8318126,8.69E-06,0.0004093,2,0
0.000132437,0.0003619,110.5972323,9.17E-06,0.00014,5,0
0.000890525,0.0029122,2216.711586,6.68E-06,4.17E-05,153,0
0.000375999,0.0031782,2929.924071,6.88E-06,3.48E-05,217,0
0.000825067,0.0041965,7600.240873,9.11E-06,0.0001497,352,0
0.000324242,0.0028942,1561.948163,6.37E-06,0.000709,152,0
0.000152226,0.0005145,165.5146544,9.11E-06,0.0002968,10,0
0.000199417,0.0010164,562.6669587,7.95E-06,0.0009856,60,0
0.000158315,0.0008918,299.1407298,7.64E-06,0.0005038,24,0
0.000150704,0.0003406,215.3920666,9.86E-06,8.03E-05,24,0
0.000138526,0.0006409,175.0935839,9.80E-06,0.0002208,11,0
0.000337943,0.0007235,367.3697699,7.66E-06,1.92E-05,29,0
0.000190283,0.0008151,271.4667427,9.80E-06,0.0003968,19,0
0.000138526,0.0002701,161.4999983,9.51E-06,4.20E-05,9,0
0.00014766,0.0004632,129.1351702,9.94E-06,0.0002179,6,0
0.000269441,0.001046,486.1267314,6.81E-06,0.0004154,43,0
0.000200939,0.0009966,370.1257676,6.33E-06,0.0001473,31,0
0.000118737,0.0003894,118.2491972,6.81E-06,3.00E-07,5,0
0.000120259,0.0002074,59.29885872,6.33E-06,5.00E-07,0,0
0.001826717,0.0062926,21737.32334,8.01E-06,0.0001187,593,0
0.000156793,0.0012111,326.0118229,1.21E-05,0.0001292,21,0
0.000156793,0.0010017,197.2883886,1.21E-05,0.0001518,14,0
